Company Name,Verticals,Financing Stage,Region,Company Description,Company Highlights,Pitch Deck,Get Connected,Founder Name,View LinkedIn,Pitch Video (if available),View Website,State,Country,Accelerator Program
Mineral Forecast,"Artificial intelligence and machine learning,Climate tech,Industrials",Seed,Latin America,Machine-learning platform to improve by 3X drillhole targeting success rates to find the critical metals a greener world needs. Achieved $932K in revenue with customers across LATAM since MVP launched 17 months ago.,"- ~$1M in revenue.
- 6 paying customers across Chile, Peru, and Mexico.
- Significantly enhancing the speed at which our ML models are generated, from 1 per month up to 75 per month in one year.
- 38 potential customers in our sales pipeline.",Pitch Deck wo Fcls.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/ULGFLs4-gVFlJiR-EcL5bQ/HkYtO8cvj1t-9fxv6bIcKbxcUwHsRO5jrGb0YF6wuDE_1bi1rnJFclU3TW-mOcSEzAc3wSY31IVXV-NfEqZU5PrWqJGb20mIUzo5RHuv3OwwDb58-_pBnRplPO5Sa0t-N4wA79ou5gJnKNTkHGoLJA/Izs5AtLIE0GTUz7_VPoxfvIAHuEvm4-nDkPmpMXxVaI),https://brdg.app/s/kys4hk,Javier Muñoz,https://www.linkedin.com/in/jimunoz88/,,https://www.mineralforecast.com/en,,Chile,Techstars Boston Accelerator
"Pirl Technology, Inc.","Climate tech,Infrastructure,Mobility tech",Pre-Seed,United States,Building the software and hardware for the Airbnb of EV charging with the goal os solving charging anxiety by deploying EV charging networks at the residential level and small businesses.,"- $302K order book.
- 1 non-provisional patent filed, 1 provisional filed.
- Revenue since company launch: $208K.",Pirl_deck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/UpnukcUXgIFvKCTo2mGGBA/4-LGMkpKVpiRMlecJwr581eNde6WHfDHhFHDlGhIisiK51mttZqHbXAwUsZuUzVFg6x5wp2SxLs17PXUtbKaJFUsWyY4I8GrE-kYy2CJpzMiumKUfL9SQJr3Gzpkttzs72exi0QRzzbekWpEVFRwug/dwGqjfJ3YnZCYJXoEsOELiSvPfiW_5apgKA8JYpScSE),https://brdg.app/s/a05jx8,Kobby Osei-Kusi,https://www.linkedin.com/in/oseikusi/,,https://www.pirlcharger.com/,Maryland,United States,Techstars Washington DC powered by J.P. Morgan
Alt/Finance,"Artificial intelligence and machine learning,Fintech,Insurtech",Pre-Seed,United States,"Alt/Finance is a pioneering AI & ML powered data science company delivering real-time data insights on the trading of luxury collectibles. We help analysts, investors and insurers manage alternative assets with real-time data insights.
","- Sold 84 annual licenses pre-launch in Q3 to Sotheby’s Institute of Art
- Sold pilot licenses to Raymond James team with commercial value of $4 million
- Increased customer LTV to $300,000 through refined product and business model
- Qualified 346 leads in wealth management at JPM through direct sales calls and emails",AltFinance - Demo Day Deck - Jan 10.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/FDxY7aj0kPdaC8mWjDqQyA/1N_kQC4Lhyuk9e0w8rF2NTucmO5Q61765bxvAPWjN1Z6fQyW74tqYu3hJh1QfxWrT3I-t5t4Z08nEnYOVq7FSSWNXMu5HFyHtnIyWqXekRHe_bXrmlEqXVcy0sr2vk3OWhullVmu4IHw3cVnCgCbcHk4o01DhaJwPtqugcp4XU8/kHtwdUy_E5g6RKOvINefW_ZLyPYhWCMncJv-k6dxHOU),https://brdg.app/s/a12uro,Sharon Obuobi,https://linkedin.com/in/sharonobuobi,,https://altfndata.com,New York,United States,Techstars New York City powered by J.P. Morgan
PayAngel,Fintech,Seed,United States,"PayAngel is a cross-border billing and payment service provider for businesses and migrants everywhere. Now available on 5 continents since launching in Oct 2022 with the support of UNCDF and Barclays Rise. Key partners: Allianz Insurance, Ripple","- Customer number grew 3x yoY with +15,000 added.
- Increased ARR from $0.6m to $1.5m within 3 months of joining Techstars.
- Processed over $120m since launching with the support of UNCDF and Barclays Rise in Oct 2022.
- Scaled to 5 continents with $6m credit facilities from partners.",10 PayAngel Pitch (vE-002).pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/ifVw5CDNWhHQDQlRs0enQg/olGPByecmTIgvcf9EQuDBrcV14s62pDTtGNhwWPFhZ9HO7gaoYfYEROImyHvehQ8Evy3CJYbgq3EKnXYmerPUboVQq3mNcv2WNpYeZlFVsVMef4nMnIZGqN2Ll6xkj-4QtIqGQa4NUYN9ax0IAw311IlHGTkl7v4rF6H_87CmyI/_CzRQNZFspy6eEx9Uu8Z3or_Vz5AOpeRszIrvyyCprs),https://brdg.app/s/q6fu2g,Jones Amegbor,https://www.linkedin.com/in/jones-amegbor/,,www.payangel.com,New York,United States,Techstars New York City powered by J.P. Morgan
Onboardbase,"Cloudtech and DevOps,Cybersecurity",Pre-Seed,United States,"Onboardbase is a zero-trust security infrastructure to work and share API credentials with contractor developers, vendors, and third parties. 

Our growth to date has been word of mouth. All inbound and product-led growth with thousands of users.","- 1,200 users
- 7,500 MRR
- 30% MM
- 6 product lines",OBB-OSS-Main.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/4RHtYkcb2iXWwDKE8yyFKQ/oCGxTlBlgNy_3dCNZqbO-AsOnvbWB53jgEiRz7vVjUd2ySjovplXUt-hZ0Yoeqqe9MPfLD-bOncFdodtXViyv__auSdDMBvmnhHjUhKH1s9MwM8VONPAqttrYPBKA-dHwgPy1h5BjweigM7M-eWuLQ/FzSy3TDFaW6Qmv4ZdZGvC2U3F-5CGaLgvTpvIshVPNY),https://brdg.app/s/ynox0e,Karlista Dante Lex Okoh,https://linkedin.com/company/onboardbase,,https://onboardbase.com/,Florida,United States,Techstars Future of Ecommerce powered by eBay
DrOnline,"Digital health,Healthtech",Series A,United States,"DrOnline is building the first worldwide preventive healthcare ecosystem. We deliver just-in-time telehealth appointments to patients in need of medical attention. We are live in Portugal, Ireland and soon the US. Bootstrapped and doing over 2.5M$/y.","- Launched in July 2020 in Portugal. We have bootstrapped the company and profitable from day one.
- Launched in Ireland in 2022,  launched in the UK in January 2024 and are currently preparing our launch in the US.
- Closed 2023 with 2.5$ in revenue and +60,000 appointments delivered.
- Raised $2M Seed-Round to double down on growth.",DrOnline - Investor Deck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/lU7vRXMre09rPcDmHTGicQ/QoLxZZL3Ox5z2StmtBnA64Z4bWHfnqsZv2X6I_DnmmgNlL7rLDAtlLe_XZoPc7NW_x8Vmu20U4JXRLzN3opqBooy6ArZqvN3FoS2YdYsg22dSb0Z6TY9_uk4YWzlkSWKTK1Yn9hcZjJKbBXzKnHaoCpFez_DxTroyuTwYCB641I/StB91T817yxkWwMpJJycV9PTp5eNmts41HYkBY-i0uY),https://brdg.app/s/r2uqoc,Pedro Lopes,https://www.linkedin.com/in/pedrofmlopes/,,https://www.dronline.com,New York,United States,Techstars New York City powered by J.P. Morgan
Making Space,"B2B payments,Edtech,Impact investing",Pre-Seed,United States,"Making Space is an accessible talent acquisition and learning experience platform for companies to identify, train and access disabled talent. To date Making Space has contracts with Fortune 100 companies including Netflix, NBC Universal and Amazon.","'- Went from concept to securing 6-figure contracts with NBCUniversal, Netflix and Amazon within 6 months.
- Hired talent from our platform for the broadcasting of the Paris 2024 Olympics (the first time NBC have ever hired self-identified Disabled talent for the Games broadcast).
- Companies in the pipeline include: Metro, Indeed.com, Square, Walmart, and other departments from NBC, Amazon, Netflix & Google.
- Full-time team of 7, exited founder, 15+ years of working experience together.",Techstars investor Deck-Making Space-Keely Cat-Wells.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/S1GmbVy4Hlv3gLtfx7eBKw/D6JoowJVzR9nZyNG9cjvJAgLYjQIrACLXZOQyws7mxvWiX4f4QPxop6peeBDzWDRxzfrriqHPhg2X37V4ft90ppijVEP1pmrf-DYlrXF_BGz5Wcjx5KHBFAcLSxFlu0VkeH1Gx7TOedctWjfIoL9UqkDEuCnz7mcqS8k8QEkenUfkiWIlc87oNSwnwWgHw10/rugiY8WpK6nZqz1stOB2uKRfYlRO_R23VFAOtuGbkoY),https://brdg.app/s/4mpm2y,Keely Cat-Wells,https://www.linkedin.com/in/keelycatwells/,https://fast.wistia.com/embed/medias/cirp5zb4j7,https://making-space.com/,California,United States,Techstars Economic Mobility Powered by Samvid Ventures
Grid Discovery,"Climate tech,Infrastructure",Pre-Seed,United States,A map-based platform for engineers & developers to efficiently identify and evaluate microgrid projects. Our proprietary ML models and user-friendly design significantly reduce the high cost and time associated with microgrid project planning.,"- Beta launched May 2023, with complete product launch by Q2 2024.
- Completed first customer project in July 2023.
- Closed first customer and partnership with global engineering firm Greener by Design.
- Pipeline of 100 with estimation to close EoY 2024.",Grid Discovery Pitch Deck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/h2zquQZjXeK99x43m21DDQ/y17cP4I2zYARU3zwLXdVC4xB-mjZBebwSGZe0ofJYl5Orf6rUNW86TWhNKdcdxnvXB8vu2exAGLgs5p_ZWUyHNvP7KZBN4HRMOH2qs1QoZl32dY5Sqtg7vUTmT3nV1aazLEBQtQjvvTogGpT7Riu1f3gdkEiUZngDC5AJV7UWsU/0o2kc3Ik-uE7RnWJWbHCzjzUx0mfmNfXCCQ5UkaAWEM),https://brdg.app/s/db1qwq,Matthew Cristaldi,https://www.linkedin.com/in/matthew-cristaldi/,,https://www.griddiscovery.com/,New Jersey,United States,Techstars Alabama EnergyTech Accelerator
Resourcly GmbH,"Supply chain technology,Artificial intelligence and machine learning",Pre-Seed,Europe,"Resourcly is the global #1 shared inventory for manufacturers. We cataloge, matchmake and connect leveraging AI and product data to share, reuse and prevent idle inventory. ","- 3 pilots.
- V1 of the product live.
- First 12 months contract signed.",resourcly-TeaserDeck2024-InvestorDay.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/UdiA_fXALDmzi8zpf27T5g/zlI-Wiiu6AWchOOO6tajd6cEjkz9xdJnhTMuRlZozeMJWuhJRRferbO1J7QvpY1Q3Hxe_avwaHwf6UeZFw7AhniUxPyMMjf2g0sV1hUFCDYOsnaVsS7IMP1gl9ss9NWA9AKShSENcRnUrYGust2oVgHCiylw3S42Qh_xC5ienoghNZqdlUBS83UXMkR2pHAs/pGZdrgAJdoz8eCZqR0Tm6BxHr_IG0_fTxkDT4RM3h8s),https://brdg.app/s/phhqoi,Helena Most,https://www.linkedin.com/in/helena-most/,,www.resourcly.earth,,Germany,Techstars Berlin Accelerator
DocOne,"Artificial intelligence and machine learning,Digital health,Healthtech",Pre-Seed,United States,"DocOne has created a library of healthcare AI models & frameworks, making it easy for healthcare companies to adopt AI for a wide range of applications, while saving 6-12 months in development time and cutting cost by 20x.","'- From zero to 10 clients in the past 12 months.
- Just this December, doubled paying clients from 5 to 10.
- Monthly revenue for Jan/Feb/Mar is estimated at $10-15K.
- Total $150K in revenue (realized plus booked) achieved.",DocOne 2024.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/wzVagO5M50HBhi4PUQp4Vw/1t_eYN2j9PccUuw_CBz5LpJ2t_flkMphliZWDTiJIJesGN5eBDW9fSAoemfxYb_mGQwSj1-_sfs-es5olY6JRfr7FlPIApXQSEhauilHtmPhtu7P3BbxMzZIMGirTvW-O36T8w8SPRDJavxYqEQb7w/vTg-WflDF7_oIKBR5EGdWhysL7gloO2zMUNqEJh91xs),https://brdg.app/s/cwqhpu,Kresimir Letinic,https://www.linkedin.com/in/kresimir-letinic-4b86ab4/,,www.docone.io,New York,United States,Techstars New York City powered by J.P. Morgan
Sweetkiwi,"Foodtech,Healthtech,Lifestyles of Health and Sustainability and wellness",Seed,United States,"Sweetkiwi redefines health-conscious treats with delicious, innovative, gut-friendly, delicious, great-tasting, and low-calorie products. Our Whipped frozen Greek yogurt is available for sale in 2,000+ retailers including Walmart & Whole Foods.","- 130% Revenue Growth YoY in 2023
- High-profile licensing partnerships with Snoop Dogg and The Smurfs
- Strong team with 40+ combined years experience in relevant industry
- Woman-owned and mission driven company, committed to social impact and inclusive growth",Sweetkiwi Fundraising Deck Jan 2024.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/Pcb0lOgITP6o7PZYXdw2wg/JpVbdUiQBjNraabQPpbckjZjf2ajzRn47HtdvVZsAgCiDOcYKStAHZGlUH3N0y_3P-6r64p8RlF8OBibvN_7Hw3n6HyL1vkJ5n6g6DGaC-VavW519l3JtNNgiScPC8Ebjlt5qbKKLEWbe-2j3ZuIXoFrCk5eAuXxSvbVMNye6b4/NgLGhoFtJVppuYyR1VzC5YukQBP7YlRH9mkVqitukww),https://brdg.app/s/77swln,Ehime Eigbe,https://www.linkedin.com/in/theehime/,https://fast.wistia.com/embed/medias/82qipdenq7,https://www.sweetkiwi.com/,California,United States,Techstars Los Angeles powered by J.P. Morgan
Skyblue Analytics,Fintech,Seed,United States,"Skyblue Analytics is a fintech company that offers investment infrastructure to financial institutions that want to modernize. Our suite includes White Label investment and RoboAdvisor platforms, we have clients in LATAM and expanding into the US.","- Recently closed a $48k contract plus $4k MRR
- Closing with companies from Peru, Puerto Rico and Argentina
- Projecting $500k ARR in 2024
- Expected to be breakeven mid-2024",Skyblue_Analytics_PitchDeck..pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/KBLn4BRKsew_Q4FGzZONjQ/EdpEfWzT9P99FlMYvP7NUmrPmL2ro1vw50w-Mv0rIm2qiuz4zsrmrSiRUr_K-YuRouedo-m20RR-KkDuHdxsnWj2IMg1Ghp53iTOhCkmZchvUT9XRRytCWspoOE1lVRFXhGwBL782sfETTirvDhlkILISiE8hFCETeb0MwbXLgA/s3_u_3XPGNSr4BlqSfU4-g7WKayGsdwdzjUlr1dqQ6s),https://brdg.app/s/5esb6r,Sebastian Musso,https://www.linkedin.com/in/sebastian-musso/,,https://www.skyblueanalytics.com/,California,United States,Techstars Oakland powered by J.P. Morgan
Bleach Cyber,"Cybersecurity,Cloudtech and DevOps",Seed,United States,"Bleach Cyber is revolutionising trust in Cybersecurity. Our platform enables Startups and SMEs to get secure quickly and effectively, then empowers them to share this data with their enterprise customers. Securing the Supply Chain and the economy.","'- 100 + Signups in less than 8 weeks of Launch.
- 4 Major Pilots with Enterprise Customers.
- Integrations live for SMB Tech Stack (Amazon, Microsoft, Google).
- Over 15 Partners in 2 Months.",Bleach Investment Deck - Techstars (3).pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/xqqrULOwpvkhHjo6H12ysw/MGr2Ur5OGnVvyq-wixBi8kCNGwzeg7FHqdjAwErDDJGKie-gYEJ2EgFA5EzDT8UaQK9muJKbwtYaDkm7zwyuvKk5Xr5VDR1Mlr5yxREqsGzMbHE4DJ2j8REq1bOUB57aRVURaI81g-pwWXEhVI8qugjK5luJm2ZXFQPWVjLamgw/hr-i6a6Tnc5bBGNjSUo5R-w1kpy2nw7amcZo1nOTdaE),https://brdg.app/s/xbbyw4,Craig Goodwin,https://www.linkedin.com/in/craiggoodwin/,https://fast.wistia.com/embed/medias/k3b91sfvto,www.bleachcyber.com,Texas,United States,Techstars Austin Accelerator
Et Cetera Robotics,"Artificial intelligence and machine learning,Robotics,Supply chain technology",Pre-Seed,United States,"We are building the perception system for everyday robotics. If we want robots as capable as humans, they need to see motion as well as a human. ETC has LOIs from top robot companies looking to use our patent-pending technology to enter new markets.","- In the past month, secured two LOIs from warehouse and agricultural robotics companies
- Filed a provisional patent to protect the company's IP
- Currently showcasing our technology to the top two quadruped robot companies, among others",ETC TechStars Investor Reveal.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/hB0sd1qii_cR6ukt8RM0MA/3Bl55Nz85pFC6OYSDHZgDpuZHm4t5RFbm3KiSAbehzRZLzqL2ZBeFHidwD7fNUoYuJEnOQ6PPXIu-nTuiZNJ2d0uEtPYdClHYg1DU4uik-9UL4mzLtTe0yGMjogZdRijP2c4C1VdjGpdbaUr2mCbo4YK2urjD05IsBR-IGsbPMM/Rf8FvXaOvN6r7EUH5dLDiPwFt6-G3WY3PkhESM7envY),https://brdg.app/s/3s78l1,Kendall Lowrey,https://www.linkedin.com/in/kendall-lowrey-b154b339/,https://fast.wistia.com/embed/medias/k3hr9ihkxe,https://etcrobotics.com/,Washington,United States,Techstars Seattle Accelerator
